x,f,mean,lower,upper
0.00010001,-4.457462,-8.878592,-12.793791,-4.963392
0.00020002,-5.454774,-8.8798485,-12.794848,-4.9648485
0.00030003,-6.048671,-8.881106,-12.795907,-4.9663057
0.00040004,-6.4730964,-8.882359,-12.79696,-4.967757
0.00050005,-6.8036203,-8.883609,-12.798012,-4.9692063
0.00060006,-7.0743675,-8.88486,-12.799063,-4.9706573
0.00070007,-7.30369,-8.886108,-12.800114,-4.9721036
0.00080008,-7.5026007,-8.887354,-12.80116,-4.973548
0.00090009003,-7.6782312,-8.888599,-12.802207,-4.974992
0.0010001,-7.8354645,-8.889841,-12.80325,-4.976432
0.00110011,-7.9777927,-8.891081,-12.804293,-4.9778695
0.00120012,-8.107798,-8.892321,-12.805334,-4.979307
0.00130013,-8.227444,-8.8935585,-12.806375,-4.9807425
0.00140014,-8.33826,-8.894793,-12.807411,-4.982174
0.0015001501,-8.441459,-8.896027,-12.808448,-4.9836054
0.00160016,-8.538019,-8.89726,-12.809483,-4.9850364
0.00170017,-8.628743,-8.898488,-12.810514,-4.986461
0.0018001801,-8.714294,-8.899717,-12.811547,-4.9878874
0.00190019,-8.795231,-8.900944,-12.812577,-4.9893103
0.0020002,-8.872023,-8.902168,-12.813604,-4.990732
0.00210021,-8.945072,-8.903393,-12.814632,-4.992153
0.00220022,-9.014727,-8.904612,-12.815656,-4.9935675
0.00230023,-9.081286,-8.905831,-12.816679,-4.9949837
0.00240024,-9.145013,-8.907049,-12.817701,-4.996397
0.00250025,-9.206136,-8.908264,-12.81872,-4.9978085
0.00260026,-9.26486,-8.909478,-12.819739,-4.999217
0.00270027,-9.321363,-8.91069,-12.820756,-5.0006247
0.00280028,-9.375809,-8.9119,-12.82177,-5.0020294
0.00290029,-9.428338,-8.913109,-12.822784,-5.0034337
0.0030003001,-9.47908,-8.914315,-12.823795,-5.004835
0.00310031,-9.528152,-8.91552,-12.824805,-5.006234
0.00320032,-9.575661,-8.916722,-12.825813,-5.0076313
0.0033003301,-9.621698,-8.917921,-12.826818,-5.009024
0.00340034,-9.666354,-8.919121,-12.827824,-5.010418
0.00350035,-9.709708,-8.920319,-12.828828,-5.0118093
0.0036003601,-9.751831,-8.9215145,-12.82983,-5.0131993
0.00370037,-9.792792,-8.922709,-12.830831,-5.0145884
0.00380038,-9.832651,-8.923901,-12.831828,-5.015973
0.0039003901,-9.871465,-8.925089,-12.832824,-5.017354
0.0040004,-9.9092865,-8.926278,-12.833819,-5.018737
0.0041004103,-9.946164,-8.927465,-12.834814,-5.020117
0.00420042,-9.982142,-8.928649,-12.835804,-5.021494
0.00430043,-10.017264,-8.929832,-12.836796,-5.0228696
0.00440044,-10.051568,-8.931013,-12.837784,-5.024243
0.00450045,-10.08509,-8.932193,-12.838771,-5.0256147
0.00460046,-10.117864,-8.933372,-12.839757,-5.026986
0.0047004703,-10.149921,-8.9345455,-12.840739,-5.028352
0.00480048,-10.1812935,-8.935719,-12.841721,-5.0297165
0.00490049,-10.2120075,-8.936891,-12.842701,-5.0310802
0.0050005,-10.242089,-8.938061,-12.843679,-5.032442
0.00510051,-10.271564,-8.939228,-12.844656,-5.0338
0.00520052,-10.300453,-8.940393,-12.845631,-5.0351567
0.00530053,-10.328781,-8.941559,-12.846604,-5.0365133
0.00540054,-10.356568,-8.942722,-12.847577,-5.0378675
0.00550055,-10.383833,-8.943882,-12.848547,-5.0392175
0.00560056,-10.410594,-8.945042,-12.849516,-5.040568
0.00570057,-10.43687,-8.9462,-12.850484,-5.041917
0.00580058,-10.462675,-8.947353,-12.851446,-5.04326
0.00590059,-10.488029,-8.948506,-12.852409,-5.044603
0.0060006003,-10.512942,-8.949657,-12.853371,-5.0459437
0.00610061,-10.537432,-8.950809,-12.854333,-5.047284
0.00620062,-10.561511,-8.951956,-12.85529,-5.048621
0.00630063,-10.585193,-8.953103,-12.856248,-5.049958
0.00640064,-10.608488,-8.954247,-12.8572035,-5.0512915
0.00650065,-10.63141,-8.955388,-12.858155,-5.052621
0.0066006603,-10.653969,-8.95653,-12.859108,-5.0539513
0.00670067,-10.676176,-8.957668,-12.860058,-5.055279
0.00680068,-10.698042,-8.958805,-12.861006,-5.056604
0.00690069,-10.719575,-8.959941,-12.861954,-5.0579276
0.0070007,-10.740786,-8.961075,-12.8629,-5.05925
0.00710071,-10.761682,-8.962206,-12.863843,-5.060569
0.0072007203,-10.782273,-8.963333,-12.864782,-5.0618834
0.00730073,-10.802568,-8.964461,-12.865723,-5.0631995
0.00740074,-10.822574,-8.96559,-12.866664,-5.064515
0.00750075,-10.842298,-8.966711,-12.867598,-5.065824
0.00760076,-10.861747,-8.9678335,-12.868534,-5.067133
0.00770077,-10.880929,-8.968952,-12.869466,-5.0684385
0.0078007802,-10.899851,-8.970072,-12.870398,-5.0697455
0.00790079,-10.918519,-8.971188,-12.871328,-5.0710473
0.0080008,-10.936938,-8.972303,-12.872257,-5.07235
0.00810081,-10.955116,-8.973415,-12.873182,-5.073648
0.008200821,-10.973058,-8.974529,-12.87411,-5.0749483
0.00830083,-10.990768,-8.975637,-12.875032,-5.076242
0.00840084,-11.008254,-8.976745,-12.875955,-5.0775347
0.00850085,-11.025519,-8.977851,-12.876875,-5.078827
0.00860086,-11.04257,-8.978954,-12.877792,-5.080116
0.00870087,-11.05941,-8.980055,-12.878708,-5.081402
0.00880088,-11.076044,-8.981157,-12.879625,-5.0826893
0.00890089,-11.092478,-8.982254,-12.880537,-5.083971
0.0090009,-11.108714,-8.98335,-12.881449,-5.085251
0.00910091,-11.124758,-8.984444,-12.882358,-5.0865297
0.00920092,-11.140613,-8.985537,-12.883266,-5.0878067
0.00930093,-11.156283,-8.986626,-12.8841715,-5.08908
0.0094009405,-11.171773,-8.987714,-12.885076,-5.090352
0.00950095,-11.187085,-8.988803,-12.885981,-5.091625
0.00960096,-11.202225,-8.989887,-12.886881,-5.0928936
0.00970097,-11.217194,-8.990972,-12.887782,-5.094161
0.00980098,-11.231996,-8.992052,-12.8886795,-5.0954247
0.00990099,-11.246634,-8.993132,-12.889575,-5.0966883
0.010001,-11.261112,-8.994208,-12.890469,-5.0979476
0.01010101,-11.275433,-8.995283,-12.891361,-5.099205
0.01020102,-11.289599,-8.996361,-12.892256,-5.100466
0.01030103,-11.303615,-8.997431,-12.893144,-5.101718
0.01040104,-11.317481,-8.998501,-12.894032,-5.10297
0.01050105,-11.331202,-8.999569,-12.8949175,-5.1042204
0.01060106,-11.344779,-9.000637,-12.895803,-5.105471
0.010701071,-11.358216,-9.001699,-12.896684,-5.106715
0.01080108,-11.371514,-9.002762,-12.897564,-5.1079593
0.01090109,-11.384677,-9.003825,-12.898446,-5.1092043
0.0110011,-11.397706,-9.004883,-12.8993225,-5.110443
0.01110111,-11.4106045,-9.0059395,-12.900198,-5.1116805
0.01120112,-11.423374,-9.006995,-12.9010725,-5.112918
0.01130113,-11.436016,-9.008051,-12.901947,-5.114155
0.01140114,-11.448534,-9.0091,-12.902816,-5.115384
0.01150115,-11.46093,-9.010151,-12.903687,-5.1166153
0.01160116,-11.473206,-9.011198,-12.904553,-5.1178427
0.01170117,-11.485362,-9.012243,-12.905418,-5.119068
0.01180118,-11.497401,-9.013287,-12.906282,-5.120291
0.0119011905,-11.509327,-9.014329,-12.907145,-5.1215134
0.012001201,-11.521139,-9.015368,-12.908005,-5.1227326
0.01210121,-11.532841,-9.016409,-12.908865,-5.123953
0.01220122,-11.544433,-9.017446,-12.909722,-5.125169
0.01230123,-11.555916,-9.018478,-12.910576,-5.126381
0.01240124,-11.567294,-9.019512,-12.91143,-5.1275935
0.01250125,-11.5785675,-9.020544,-12.912284,-5.128804
0.01260126,-11.589739,-9.02157,-12.913132,-5.1300087
0.01270127,-11.600808,-9.022599,-12.913982,-5.1312165
0.01280128,-11.611777,-9.023623,-12.914827,-5.132419
0.01290129,-11.622648,-9.024649,-12.915674,-5.1336226
0.0130013,-11.633422,-9.02567,-12.916518,-5.134822
0.0131013105,-11.644101,-9.026688,-12.917357,-5.136018
0.013201321,-11.654685,-9.027706,-12.9182,-5.137213
0.01330133,-11.665176,-9.028723,-12.919038,-5.1384077
0.01340134,-11.675576,-9.0297365,-12.919874,-5.1395984
0.01350135,-11.685885,-9.030747,-12.920708,-5.1407866
0.01360136,-11.696106,-9.031759,-12.921543,-5.1419754
0.01370137,-11.706239,-9.032767,-12.922375,-5.1431603
0.01380138,-11.716285,-9.033774,-12.923204,-5.1443443
0.01390139,-11.726246,-9.034777,-12.92403,-5.1455226
0.0140014,-11.736122,-9.035782,-12.92486,-5.146704
0.01410141,-11.745915,-9.036781,-12.925682,-5.14788
0.01420142,-11.755627,-9.037781,-12.926506,-5.1490555
0.01430143,-11.765256,-9.038778,-12.927327,-5.1502295
0.0144014405,-11.774806,-9.039772,-12.928146,-5.1513977
0.014501451,-11.784278,-9.040767,-12.928965,-5.152569
0.01460146,-11.793671,-9.041758,-12.929781,-5.153734
0.01470147,-11.802987,-9.0427475,-12.930595,-5.1549
0.01480148,-11.812227,-9.043734,-12.931407,-5.15606
0.01490149,-11.821393,-9.044721,-12.932219,-5.1572227
0.0150015,-11.830484,-9.045703,-12.933026,-5.1583796
0.01510151,-11.839502,-9.046686,-12.933835,-5.1595373
0.01520152,-11.848448,-9.047667,-12.934641,-5.1606917
0.01530153,-11.857323,-9.048644,-12.935444,-5.161844
0.01540154,-11.866126,-9.049622,-12.936248,-5.1629953
0.01550155,-11.874861,-9.050594,-12.937047,-5.1641417
0.0156015605,-11.883526,-9.051565,-12.937844,-5.165286
0.01570157,-11.892123,-9.052538,-12.938643,-5.1664324
0.01580158,-11.900653,-9.053507,-12.93944,-5.1675744
0.01590159,-11.909117,-9.054474,-12.940233,-5.1687145
0.0160016,-11.917515,-9.055437,-12.941024,-5.1698503
0.01610161,-11.925848,-9.056402,-12.941816,-5.1709886
0.01620162,-11.934116,-9.057362,-12.942602,-5.1721206
0.01630163,-11.942322,-9.058322,-12.94339,-5.173254
0.016401641,-11.950464,-9.0592785,-12.944175,-5.174382
0.01650165,-11.958545,-9.060233,-12.944958,-5.1755085
0.01660166,-11.966564,-9.061188,-12.94574,-5.1766357
0.01670167,-11.974523,-9.0621395,-12.94652,-5.177759
0.01680168,-11.982421,-9.063087,-12.947296,-5.178879
0.01690169,-11.990259,-9.064037,-12.948074,-5.1800003
0.0170017,-11.998039,-9.064981,-12.948848,-5.181115
0.01710171,-12.005762,-9.0659275,-12.949622,-5.182233
0.01720172,-12.013427,-9.066868,-12.950392,-5.183344
0.01730173,-12.021034,-9.06781,-12.951162,-5.184458
0.01740174,-12.028585,-9.068747,-12.951929,-5.185564
0.017501751,-12.036081,-9.069683,-12.952695,-5.1866713
0.01760176,-12.043522,-9.070619,-12.95346,-5.1877775
0.01770177,-12.050908,-9.071552,-12.954224,-5.188881
0.01780178,-12.05824,-9.072482,-12.954984,-5.1899805
0.01790179,-12.065518,-9.073411,-12.955743,-5.191079
0.0180018,-12.072744,-9.074336,-12.956498,-5.192174
0.01810181,-12.079918,-9.075262,-12.957254,-5.1932697
0.01820182,-12.08704,-9.076184,-12.958008,-5.1943607
0.01830183,-12.09411,-9.077106,-12.95876,-5.1954527
0.01840184,-12.10113,-9.078022,-12.959507,-5.1965365
0.01850185,-12.108098,-9.078941,-12.960258,-5.197625
0.01860186,-12.115018,-9.079857,-12.961004,-5.198709
0.01870187,-12.121887,-9.0807705,-12.96175,-5.1997914
0.018801881,-12.128709,-9.081683,-12.962494,-5.2008724
0.01890189,-12.135481,-9.082592,-12.963235,-5.201949
0.0190019,-12.142206,-9.083499,-12.963974,-5.203024
0.01910191,-12.148883,-9.084408,-12.964715,-5.2041006
0.01920192,-12.155514,-9.085311,-12.96545,-5.2051716
0.01930193,-12.162097,-9.086212,-12.966185,-5.20624
0.01940194,-12.168634,-9.087112,-12.966917,-5.207308
0.01950195,-12.175126,-9.08801,-12.967648,-5.208372
0.01960196,-12.181573,-9.088907,-12.968378,-5.2094364
0.01970197,-12.187974,-9.089801,-12.969105,-5.2104974
0.01980198,-12.194331,-9.090693,-12.9698305,-5.2115564
0.01990199,-12.200644,-9.091585,-12.970555,-5.212615
0.020002,-12.206913,-9.092472,-12.971276,-5.213668
0.020102011,-12.21314,-9.093359,-12.971997,-5.2147207
0.02020202,-12.219322,-9.094244,-12.972716,-5.2157717
0.02030203,-12.225463,-9.095129,-12.973434,-5.216823
0.02040204,-12.231561,-9.096008,-12.974149,-5.217868
0.02050205,-12.2376175,-9.096886,-12.974861,-5.2189107
0.02060206,-12.243632,-9.097763,-12.975573,-5.2199535
0.02070207,-12.249606,-9.0986395,-12.976284,-5.220995
0.02080208,-12.25554,-9.099514,-12.976994,-5.222035
0.02090209,-12.261433,-9.100384,-12.977699,-5.2230687
0.0210021,-12.267285,-9.101254,-12.978405,-5.2241044
0.02110211,-12.273098,-9.102121,-12.979107,-5.225136
0.02120212,-12.2788725,-9.102985,-12.979807,-5.226164
0.02130213,-12.284607,-9.103849,-12.980507,-5.227192
0.021402141,-12.290303,-9.104712,-12.981205,-5.228218
0.02150215,-12.29596,-9.105572,-12.981901,-5.2292423
0.02160216,-12.30158,-9.10643,-12.982595,-5.2302647
0.02170217,-12.307162,-9.107286,-12.983289,-5.231284
0.02180218,-12.312706,-9.108139,-12.983978,-5.2323003
0.02190219,-12.318213,-9.108992,-12.984667,-5.233316
0.0220022,-12.323684,-9.10984,-12.985353,-5.234328
0.02210221,-12.329118,-9.110689,-12.986039,-5.235339
0.02220222,-12.334516,-9.111536,-12.986723,-5.236349
0.02230223,-12.339877,-9.11238,-12.987405,-5.237355
0.02240224,-12.345202,-9.113223,-12.988085,-5.2383614
0.022502251,-12.350493,-9.114063,-12.988764,-5.2393627
0.02260226,-12.355748,-9.114902,-12.98944,-5.240363
0.022702271,-12.360969,-9.11574,-12.990116,-5.2413635
0.02280228,-12.366155,-9.116573,-12.9907875,-5.242359
0.02290229,-12.371306,-9.117405,-12.991458,-5.243352
0.0230023,-12.376424,-9.118236,-12.992127,-5.2443438
0.02310231,-12.381508,-9.119063,-12.992794,-5.2453327
0.02320232,-12.386558,-9.119894,-12.9934635,-5.2463245
0.02330233,-12.391575,-9.120718,-12.994126,-5.2473097
0.02340234,-12.396559,-9.12154,-12.994787,-5.2482924
0.02350235,-12.401509,-9.122362,-12.995449,-5.2492747
0.02360236,-12.406427,-9.123179,-12.996107,-5.250252
0.02370237,-12.411314,-9.123997,-12.996763,-5.2512302
0.023802381,-12.416168,-9.124814,-12.997421,-5.2522073
0.02390239,-12.42099,-9.125626,-12.998073,-5.2531786
0.024002401,-12.425781,-9.126438,-12.998725,-5.2541513
0.02410241,-12.43054,-9.127249,-12.999376,-5.255121
0.02420242,-12.435268,-9.128054,-13.000022,-5.2560854
0.02430243,-12.439965,-9.12886,-13.0006695,-5.2570515
0.02440244,-12.444632,-9.129665,-13.001315,-5.2580156
0.02450245,-12.449267,-9.130466,-13.001958,-5.258975
0.02460246,-12.453874,-9.131268,-13.0026,-5.2599354
0.02470247,-12.458449,-9.132063,-13.003237,-5.260889
0.02480248,-12.462995,-9.132861,-13.003877,-5.2618456
0.02490249,-12.467511,-9.133655,-13.004512,-5.2627974
0.0250025,-12.471997,-9.134443,-13.005142,-5.2637444
0.025102511,-12.476455,-9.135235,-13.005775,-5.2646937
0.02520252,-12.480884,-9.136024,-13.006408,-5.265641
0.02530253,-12.485283,-9.136812,-13.007038,-5.2665863
0.02540254,-12.489655,-9.137594,-13.007663,-5.2675257
0.02550255,-12.493997,-9.138377,-13.008288,-5.268466
0.02560256,-12.498311,-9.139158,-13.008912,-5.2694044
0.02570257,-12.502597,-9.1399355,-13.009533,-5.270338
0.02580258,-12.506856,-9.140713,-13.010153,-5.271272
0.02590259,-12.511086,-9.141487,-13.010771,-5.2722034
0.0260026,-12.515289,-9.142261,-13.011388,-5.2731333
0.02610261,-12.519465,-9.143028,-13.012,-5.2740564
0.026202621,-12.523614,-9.143798,-13.012613,-5.2749825
0.02630263,-12.527736,-9.144566,-13.013225,-5.2759066
0.026402641,-12.531831,-9.1453285,-13.013832,-5.2768254
0.02650265,-12.535899,-9.146093,-13.0144415,-5.2777452
0.02660266,-12.539941,-9.146854,-13.015047,-5.278662
0.02670267,-12.543957,-9.147612,-13.015649,-5.2795744
0.02680268,-12.547947,-9.148371,-13.0162525,-5.280489
0.02690269,-12.55191,-9.149125,-13.016852,-5.281398
0.0270027,-12.555848,-9.149879,-13.017451,-5.2823076
0.02710271,-12.55976,-9.150628,-13.018045,-5.2832103
0.02720272,-12.563647,-9.151378,-13.0186405,-5.284115
0.02730273,-12.567509,-9.152124,-13.019234,-5.2850156
0.02740274,-12.571345,-9.152869,-13.019823,-5.285915
0.027502751,-12.575156,-9.153612,-13.020412,-5.2868114
0.02760276,-12.578943,-9.154354,-13.021001,-5.2877073
0.027702771,-12.5827055,-9.155095,-13.021588,-5.288602
0.02780278,-12.586443,-9.155831,-13.022171,-5.2894917
0.02790279,-12.590156,-9.156565,-13.022751,-5.290378
0.0280028,-12.593844,-9.157301,-13.0233345,-5.291268
0.02810281,-12.597509,-9.158033,-13.023913,-5.2921534
0.02820282,-12.6011505,-9.158763,-13.02449,-5.2930355
0.02830283,-12.604767,-9.159489,-13.025063,-5.2939143
0.02840284,-12.60836,-9.160215,-13.025638,-5.294793
0.02850285,-12.611931,-9.160938,-13.026208,-5.2956686
0.02860286,-12.615478,-9.16166,-13.026777,-5.296543
0.02870287,-12.619,-9.16238,-13.027346,-5.297415
0.028802881,-12.622501,-9.163097,-13.027911,-5.2982836
0.02890289,-12.625978,-9.163814,-13.028476,-5.2991514
0.029002901,-12.629433,-9.164527,-13.029037,-5.3000164
0.02910291,-12.632865,-9.165238,-13.029597,-5.3008795
0.02920292,-12.636274,-9.165951,-13.030158,-5.3017435
0.02930293,-12.639661,-9.166657,-13.030714,-5.302601
0.02940294,-12.643025,-9.167363,-13.031269,-5.3034573
0.02950295,-12.646368,-9.168068,-13.031823,-5.3043127
0.02960296,-12.649689,-9.168768,-13.032372,-5.3051634
0.02970297,-12.6529875,-9.16947,-13.032924,-5.306016
0.02980298,-12.656264,-9.170166,-13.03347,-5.306862
0.02990299,-12.659519,-9.170862,-13.034016,-5.3077087
0.030003,-12.662752,-9.171556,-13.03456,-5.3085527
0.030103011,-12.665965,-9.172249,-13.035103,-5.309395
0.03020302,-12.669155,-9.172939,-13.035645,-5.3102345
0.030303031,-12.672325,-9.17363,-13.036184,-5.311075
0.03040304,-12.675474,-9.174314,-13.036719,-5.311908
0.03050305,-12.678601,-9.174999,-13.037256,-5.312742
0.03060306,-12.681708,-9.175679,-13.037787,-5.313571
0.03070307,-12.684794,-9.176361,-13.038321,-5.3144016
0.03080308,-12.68786,-9.177039,-13.03885,-5.3152285
0.03090309,-12.690905,-9.177716,-13.039378,-5.3160543
0.0310031,-12.69393,-9.178391,-13.039905,-5.3168783
0.03110311,-12.696934,-9.179062,-13.040427,-5.3176966
0.031203121,-12.699918,-9.179733,-13.040951,-5.318516
0.03130313,-12.702882,-9.180404,-13.041473,-5.319334
0.03140314,-12.705826,-9.181068,-13.04199,-5.3201466
0.031503152,-12.70875,-9.181734,-13.042509,-5.3209596
0.03160316,-12.711655,-9.182394,-13.043021,-5.321767
0.03170317,-12.71454,-9.183056,-13.043535,-5.322576
0.03180318,-12.717405,-9.183714,-13.044046,-5.323381
0.03190319,-12.720251,-9.184372,-13.044558,-5.3241863
0.0320032,-12.723078,-9.185025,-13.045065,-5.324986
0.03210321,-12.725884,-9.1856785,-13.04557,-5.325786
0.03220322,-12.728673,-9.18633,-13.046076,-5.326584
0.03230323,-12.731442,-9.186977,-13.046577,-5.3273773
0.03240324,-12.734192,-9.187626,-13.04708,-5.3281717
0.03250325,-12.736924,-9.188269,-13.047577,-5.3289604
0.03260326,-12.739636,-9.188914,-13.048077,-5.329752
0.03270327,-12.742331,-9.189554,-13.048571,-5.330538
0.032803282,-12.745006,-9.190193,-13.049065,-5.3313217
0.03290329,-12.747663,-9.19083,-13.049556,-5.3321047
0.0330033,-12.750301,-9.191465,-13.050046,-5.332885
0.03310331,-12.752922,-9.192099,-13.050534,-5.333663
0.03320332,-12.755524,-9.192726,-13.051018,-5.3344345
0.03330333,-12.758108,-9.193356,-13.051502,-5.335209
0.03340334,-12.7606735,-9.193981,-13.051984,-5.3359785
0.03350335,-12.763222,-9.194609,-13.052466,-5.336751
0.03360336,-12.765753,-9.195232,-13.052946,-5.3375187
0.033703372,-12.768265,-9.195852,-13.053423,-5.338282
0.03380338,-12.77076,-9.196472,-13.053898,-5.339046
0.03390339,-12.773237,-9.197088,-13.054371,-5.3398056
0.0340034,-12.775697,-9.197702,-13.054841,-5.340564
0.034103412,-12.778139,-9.198316,-13.055311,-5.34132
0.03420342,-12.780564,-9.198928,-13.05578,-5.3420753
0.03430343,-12.782972,-9.199534,-13.056244,-5.342825
0.03440344,-12.785363,-9.200143,-13.056709,-5.3435764
0.03450345,-12.787737,-9.2007475,-13.057172,-5.344323
0.03460346,-12.790093,-9.201351,-13.057632,-5.34507
0.03470347,-12.792433,-9.201952,-13.05809,-5.3458133
0.03480348,-12.794756,-9.202551,-13.058548,-5.3465543
0.03490349,-12.797062,-9.203149,-13.059004,-5.347294
0.035003502,-12.799352,-9.203743,-13.059456,-5.34803
0.03510351,-12.801624,-9.204336,-13.059908,-5.348765
0.03520352,-12.803881,-9.204927,-13.060357,-5.349498
0.03530353,-12.806121,-9.205516,-13.060804,-5.350228
0.03540354,-12.808344,-9.206102,-13.06125,-5.350955
0.03550355,-12.810552,-9.20669,-13.061695,-5.3516846
0.03560356,-12.812742,-9.207272,-13.062136,-5.352407
0.03570357,-12.814917,-9.207853,-13.062577,-5.3531294
0.03580358,-12.817076,-9.208432,-13.063016,-5.3538485
0.03590359,-12.819219,-9.209008,-13.063452,-5.354565
0.0360036,-12.821345,-9.209583,-13.063886,-5.355281
0.03610361,-12.823457,-9.2101555,-13.064318,-5.3559933
0.03620362,-12.825552,-9.21073,-13.064752,-5.3567076
0.036303632,-12.827631,-9.211296,-13.065179,-5.3574133
0.03640364,-12.829695,-9.211864,-13.065607,-5.3581214
0.03650365,-12.831743,-9.212431,-13.066034,-5.3588276
0.03660366,-12.833776,-9.212993,-13.066457,-5.3595285
0.03670367,-12.8357935,-9.213552,-13.066877,-5.3602276
0.03680368,-12.837795,-9.214113,-13.067299,-5.3609276
0.03690369,-12.839783,-9.21467,-13.067717,-5.3616233
0.0370037,-12.841754,-9.215224,-13.068132,-5.3623157
0.03710371,-12.84371,-9.215776,-13.068546,-5.3630066
0.03720372,-12.845652,-9.21633,-13.068961,-5.363698
0.03730373,-12.847577,-9.216877,-13.06937,-5.364384
0.03740374,-12.849488,-9.217424,-13.069779,-5.3650694
0.03750375,-12.851385,-9.21797,-13.070187,-5.365753
0.037603762,-12.853267,-9.2185135,-13.070593,-5.366434
0.03770377,-12.855133,-9.219053,-13.070995,-5.367111
0.03780378,-12.856985,-9.219593,-13.071397,-5.3677893
0.03790379,-12.858822,-9.220129,-13.071796,-5.3684616
0.0380038,-12.860645,-9.220664,-13.072194,-5.369134
0.03810381,-12.862453,-9.221199,-13.072592,-5.3698063
0.03820382,-12.864246,-9.221731,-13.072987,-5.370476
0.03830383,-12.866026,-9.2222595,-13.073379,-5.3711405
0.03840384,-12.867791,-9.222784,-13.073767,-5.3718014
0.03850385,-12.869541,-9.223311,-13.074158,-5.372465
0.03860386,-12.871278,-9.223833,-13.074543,-5.373123
0.03870387,-12.873,-9.224356,-13.07493,-5.3737817
0.03880388,-12.874708,-9.224872,-13.07531,-5.3744335
0.038903892,-12.876403,-9.2253895,-13.075692,-5.375087
0.0390039,-12.878082,-9.225904,-13.076072,-5.375737
0.03910391,-12.879748,-9.226418,-13.076449,-5.3763857
0.03920392,-12.881401,-9.226928,-13.076824,-5.3770313
0.03930393,-12.883039,-9.227437,-13.077198,-5.377676
0.03940394,-12.884664,-9.227946,-13.077572,-5.37832
0.03950395,-12.886275,-9.228449,-13.07794,-5.3789577
0.03960396,-12.887873,-9.228952,-13.078309,-5.3795958
0.03970397,-12.889456,-9.229453,-13.078675,-5.380231
0.03980398,-12.8910265,-9.229952,-13.07904,-5.380864
0.03990399,-12.892583,-9.23045,-13.079403,-5.381496
0.040004,-12.894126,-9.230944,-13.079763,-5.382124
0.04010401,-12.895656,-9.231436,-13.080122,-5.3827496
0.040204022,-12.897172,-9.231928,-13.080481,-5.3833756
0.04030403,-12.898676,-9.232418,-13.080836,-5.384
0.04040404,-12.900166,-9.2329,-13.081185,-5.384614
0.04050405,-12.901643,-9.233386,-13.081538,-5.385234
0.04060406,-12.903106,-9.233869,-13.081888,-5.385849
0.04070407,-12.904556,-9.23435,-13.082236,-5.386464
0.04080408,-12.905994,-9.234828,-13.0825815,-5.3870745
0.04090409,-12.907419,-9.235304,-13.082925,-5.387683
0.0410041,-12.908831,-9.235778,-13.083266,-5.3882895
0.04110411,-12.91023,-9.236254,-13.08361,-5.388898
0.04120412,-12.911615,-9.236723,-13.083947,-5.3894987
0.04130413,-12.912989,-9.237191,-13.084283,-5.3900995
0.04140414,-12.914349,-9.237658,-13.084618,-5.3906975
0.041504152,-12.915697,-9.238123,-13.084951,-5.3912945
0.04160416,-12.917032,-9.238584,-13.085281,-5.391886
0.04170417,-12.918354,-9.239044,-13.08561,-5.392478
0.04180418,-12.919664,-9.239505,-13.085939,-5.39307
0.04190419,-12.920962,-9.239961,-13.086264,-5.393657
0.0420042,-12.922247,-9.240416,-13.086588,-5.3942432
0.04210421,-12.92352,-9.240868,-13.086909,-5.394826
0.04220422,-12.92478,-9.241318,-13.087229,-5.3954067
0.04230423,-12.926028,-9.241766,-13.087546,-5.3959856
0.04240424,-12.927264,-9.242211,-13.087862,-5.3965607
0.04250425,-12.928488,-9.242656,-13.088177,-5.3971353
0.04260426,-12.929699,-9.243097,-13.088488,-5.397707
0.04270427,-12.930899,-9.24354,-13.0888,-5.398279
0.042804282,-12.932086,-9.243975,-13.089106,-5.3988433
0.04290429,-12.933261,-9.2444105,-13.089412,-5.3994093
0.0430043,-12.934424,-9.244846,-13.089718,-5.399975
0.04310431,-12.9355755,-9.245279,-13.090022,-5.4005365
0.04320432,-12.936715,-9.245708,-13.0903225,-5.4010944
0.04330433,-12.937842,-9.246136,-13.090621,-5.4016504
0.04340434,-12.938958,-9.246563,-13.0909195,-5.402207
0.04350435,-12.9400625,-9.246988,-13.091216,-5.4027605
0.04360436,-12.9411545,-9.247407,-13.091506,-5.403308
0.043704372,-12.942235,-9.247826,-13.091797,-5.4038544
0.04380438,-12.943304,-9.248246,-13.092089,-5.404403
0.04390439,-12.944361,-9.248662,-13.092377,-5.404947
0.0440044,-12.945407,-9.249075,-13.092663,-5.4054875
0.044104412,-12.946441,-9.249489,-13.092949,-5.406029
0.04420442,-12.947464,-9.249897,-13.093229,-5.4065647
0.04430443,-12.948475,-9.250304,-13.093509,-5.4070997
0.04440444,-12.949474,-9.25071,-13.093787,-5.407632
0.04450445,-12.950463,-9.251114,-13.094065,-5.4081635
0.04460446,-12.951441,-9.2515135,-13.094337,-5.4086895
0.04470447,-12.952406,-9.251914,-13.09461,-5.4092174
0.04480448,-12.953361,-9.252312,-13.094882,-5.4097414
0.04490449,-12.954305,-9.252707,-13.095151,-5.410262
0.045004502,-12.955236,-9.253101,-13.095419,-5.410784
0.04510451,-12.956158,-9.253492,-13.095684,-5.4113007
0.04520452,-12.9570675,-9.253881,-13.095947,-5.4118156
0.04530453,-12.957967,-9.254268,-13.096208,-5.412328
0.045404542,-12.958855,-9.254653,-13.096467,-5.412839
0.04550455,-12.959732,-9.255036,-13.096725,-5.4133477
